epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.9446,1.4622,0.86458,1.21156,0.82795,0.76518,0.82898,0.48151,1.68361,0.9041,1.36804,0.000414013,0.000414013,0.000414013
2,55.0985,1.54254,0.95436,1.24208,0.7323,0.68728,0.76035,0.42312,1.75566,0.98462,1.41432,0.000814232,0.000814232,0.000814232
3,81.9231,1.57708,1.00498,1.27649,0.78593,0.74108,0.79829,0.43261,1.80331,1.04596,1.4571,0.00119795,0.00119795,0.00119795
4,108.992,1.61077,1.02859,1.27734,0.77813,0.71847,0.78102,0.41277,1.77802,1.03138,1.39978,0.00117575,0.00117575,0.00117575
5,136.143,1.65841,1.05561,1.3096,0.82049,0.63932,0.75465,0.39841,1.76262,1.05219,1.42846,0.001151,0.001151,0.001151
6,163.419,1.61081,1.02173,1.28732,0.8117,0.68691,0.78375,0.40791,1.77693,1.02635,1.433,0.00112625,0.00112625,0.00112625
7,190.716,1.59618,1.01914,1.27731,0.84273,0.67453,0.79026,0.41114,1.74499,1.02678,1.40149,0.0011015,0.0011015,0.0011015
8,218.262,1.63192,1.01367,1.28582,0.78778,0.72666,0.78354,0.43188,1.75133,1.023,1.40115,0.00107675,0.00107675,0.00107675
9,245.628,1.5789,1.00336,1.26779,0.84401,0.66166,0.78462,0.43906,1.75906,1.02657,1.41625,0.001052,0.001052,0.001052
10,273.307,1.60642,1.00758,1.27386,0.82405,0.67291,0.79331,0.43379,1.7399,1.01249,1.40177,0.00102725,0.00102725,0.00102725
11,300.949,1.59015,0.99493,1.26019,0.8398,0.66933,0.79017,0.45267,1.73974,0.96452,1.38818,0.0010025,0.0010025,0.0010025
12,328.632,1.5717,0.98767,1.26967,0.77263,0.73114,0.7957,0.43159,1.73771,0.97893,1.39694,0.00097775,0.00097775,0.00097775
13,356.315,1.58344,0.97634,1.26652,0.79939,0.75637,0.81755,0.46078,1.72472,0.96282,1.39336,0.000953,0.000953,0.000953
14,383.998,1.56172,0.95894,1.25313,0.79907,0.73522,0.81042,0.44954,1.73383,0.96809,1.41312,0.00092825,0.00092825,0.00092825
15,411.802,1.5821,0.97863,1.2598,0.7975,0.73307,0.8067,0.45463,1.71257,0.96616,1.37813,0.0009035,0.0009035,0.0009035
16,439.557,1.56977,0.95586,1.26234,0.79487,0.77662,0.8197,0.46925,1.70191,0.95036,1.37943,0.00087875,0.00087875,0.00087875
17,467.435,1.52415,0.91644,1.23666,0.82062,0.71952,0.82241,0.45466,1.75374,0.9518,1.4154,0.000854,0.000854,0.000854
18,495.275,1.52765,0.92769,1.25176,0.84792,0.77832,0.83066,0.47511,1.72607,0.9502,1.39802,0.00082925,0.00082925,0.00082925
19,523.198,1.51376,0.9121,1.2345,0.83874,0.74007,0.82189,0.48353,1.69888,0.93775,1.36544,0.0008045,0.0008045,0.0008045
20,551.157,1.53769,0.90996,1.24428,0.84164,0.75572,0.83642,0.48361,1.70659,0.92672,1.38033,0.00077975,0.00077975,0.00077975
21,579.422,1.48346,0.87613,1.20394,0.80431,0.72229,0.81581,0.48505,1.70647,0.93199,1.37169,0.000755,0.000755,0.000755
22,607.525,1.50752,0.89974,1.23446,0.84419,0.77448,0.83874,0.48526,1.71902,0.90384,1.39201,0.00073025,0.00073025,0.00073025
23,635.918,1.46293,0.8707,1.21626,0.81009,0.80409,0.84218,0.48584,1.69699,0.91636,1.36881,0.0007055,0.0007055,0.0007055
24,664.32,1.49608,0.88517,1.21517,0.87562,0.76749,0.84123,0.48914,1.69399,0.91292,1.36264,0.00068075,0.00068075,0.00068075
25,692.798,1.50573,0.87222,1.23732,0.90614,0.79448,0.86199,0.50751,1.69385,0.89345,1.35576,0.000656,0.000656,0.000656
26,721.085,1.4718,0.8547,1.20685,0.88916,0.74857,0.84014,0.49954,1.68273,0.88288,1.36435,0.00063125,0.00063125,0.00063125
27,749.288,1.49137,0.86451,1.21649,0.85264,0.79021,0.85497,0.51935,1.66236,0.88702,1.35276,0.0006065,0.0006065,0.0006065
28,777.669,1.41801,0.8193,1.1839,0.88265,0.79563,0.86063,0.52042,1.65914,0.8644,1.35017,0.00058175,0.00058175,0.00058175
29,805.969,1.47704,0.85323,1.21829,0.90134,0.76504,0.86263,0.51251,1.66066,0.86127,1.35305,0.000557,0.000557,0.000557
30,834.468,1.42785,0.8173,1.17752,0.83451,0.81867,0.86103,0.51255,1.67349,0.8649,1.34946,0.00053225,0.00053225,0.00053225
31,862.98,1.4499,0.82723,1.1947,0.86249,0.78282,0.85138,0.51664,1.66817,0.86005,1.35651,0.0005075,0.0005075,0.0005075
32,891.491,1.42011,0.81111,1.18133,0.8694,0.78944,0.858,0.52293,1.66722,0.85073,1.35527,0.00048275,0.00048275,0.00048275
33,919.97,1.4201,0.8097,1.17366,0.88328,0.76527,0.85171,0.51105,1.66499,0.86097,1.35846,0.000458,0.000458,0.000458
34,948.441,1.38796,0.78962,1.1736,0.87484,0.77661,0.8564,0.53198,1.64171,0.85011,1.33901,0.00043325,0.00043325,0.00043325
35,976.939,1.38044,0.78132,1.16577,0.8816,0.80244,0.86131,0.51571,1.64942,0.84341,1.33644,0.0004085,0.0004085,0.0004085
36,1005.47,1.3955,0.77851,1.1623,0.89137,0.80494,0.86427,0.5356,1.65321,0.82903,1.34897,0.00038375,0.00038375,0.00038375
37,1034.05,1.3843,0.77662,1.1628,0.86616,0.82738,0.87334,0.54276,1.64281,0.84667,1.34662,0.000359,0.000359,0.000359
38,1062.71,1.39361,0.78168,1.16755,0.91139,0.79184,0.86404,0.53581,1.65694,0.84099,1.34688,0.00033425,0.00033425,0.00033425
39,1091.05,1.35925,0.76657,1.15595,0.88526,0.81132,0.87226,0.54762,1.64618,0.82701,1.34272,0.0003095,0.0003095,0.0003095
40,1119.55,1.3781,0.77208,1.16318,0.86769,0.80723,0.86367,0.53994,1.64259,0.82954,1.34507,0.00028475,0.00028475,0.00028475
41,1148.11,1.38147,0.76055,1.18935,0.87263,0.79188,0.86819,0.53822,1.64114,0.84772,1.33674,0.00026,0.00026,0.00026
42,1176.4,1.38475,0.74264,1.17368,0.84493,0.82358,0.8711,0.53951,1.63962,0.83131,1.33947,0.00023525,0.00023525,0.00023525
43,1204.71,1.3943,0.74323,1.17363,0.90007,0.78801,0.87329,0.55033,1.63578,0.83281,1.33528,0.0002105,0.0002105,0.0002105
44,1233.04,1.34895,0.71975,1.16053,0.88848,0.81515,0.87765,0.54884,1.64395,0.82203,1.34154,0.00018575,0.00018575,0.00018575
45,1261.25,1.34563,0.71924,1.16415,0.86904,0.8338,0.87521,0.54109,1.63364,0.82816,1.34167,0.000161,0.000161,0.000161
46,1289.42,1.33637,0.71185,1.15641,0.87777,0.82448,0.87498,0.54641,1.6416,0.82056,1.35444,0.00013625,0.00013625,0.00013625
47,1317.78,1.33747,0.70534,1.15418,0.87033,0.82307,0.8726,0.54593,1.63719,0.82373,1.34761,0.0001115,0.0001115,0.0001115
48,1345.95,1.33166,0.6985,1.14587,0.87117,0.82698,0.8751,0.55047,1.63649,0.81785,1.34724,8.675e-05,8.675e-05,8.675e-05
49,1374.14,1.30671,0.69323,1.14703,0.89681,0.81926,0.87594,0.55205,1.6264,0.8154,1.33491,6.2e-05,6.2e-05,6.2e-05
50,1402.41,1.29362,0.68716,1.13653,0.89396,0.81079,0.87743,0.55278,1.62806,0.8146,1.34059,3.725e-05,3.725e-05,3.725e-05
